source_name,source_bytes,source_chars,sha256,copied_to
AGENTS.md,10077,10061,2f25a49a2059904c90f38d33aa0b9e9332781a84c1b82e32eda738c7eae742d0,opencode_wayA_verbatim_bundle/source_verbatim/AGENTS.md
legacy_gold_global_agents-3.md,2256,2237,588d4d2df45f70fc1237f0a356081f46123be76d21ffc7199f7c78410b99a65a,opencode_wayA_verbatim_bundle/source_verbatim/legacy_gold_global_agents-3.md
all_in_one.md,6362,6295,780f833c32060d244b967a4fe25762df88cd9d5ca241f63a20037875b22b1617,opencode_wayA_verbatim_bundle/source_verbatim/all_in_one.md
legacy_gold_local_agents-4.md,2110,2097,00cd550c4a280f3987342270cbbc567cd033789801aae10e35864fdb50ddb921,opencode_wayA_verbatim_bundle/source_verbatim/legacy_gold_local_agents-4.md
legacy_gold_claude_consolidated-2.md,1897,1888,711813e6d60260d9aa55cb19c813c65571d6d5e595816819f06d527f736fa5fa,opencode_wayA_verbatim_bundle/source_verbatim/legacy_gold_claude_consolidated-2.md
all_in_one-5.md,13753,13606,9d393c11fd68c013dda086f8426f13cb98e0539e18f03a359d8456d460ed9516,opencode_wayA_verbatim_bundle/source_verbatim/all_in_one-5.md
all_in_one-6.md,19581,19394,c0304ab33622aff0b834af24da256dfea269ea5e359e2987bffa6d91730ab5db,opencode_wayA_verbatim_bundle/source_verbatim/all_in_one-6.md
